employee_id,first_name,last_name,email,specialty,department,hire_date,fte,base_salary,compensation_model
EMP1001,Michael,Johnson,michael.johnson@healthsystem.org,Dermatology,Dermatology,9/18/2016,1,327560,Standard
EMP1002,Linda,Miller,linda.miller@healthsystem.org,Cardiothoracic Surgery,Cardiothoracic Surgery,4/10/2024,1,232343,Standard
EMP1003,Emily,Garcia,emily.garcia@healthsystem.org,General Surgery,General Surgery,3/1/2023,1,295883,Standard
EMP1004,Emily,Brown,emily.brown@healthsystem.org,Internal Medicine,Internal Medicine,12/12/2022,0.5,397579,Standard
EMP1005,David,Brown,david.brown@healthsystem.org,Internal Medicine,Internal Medicine,11/1/2018,0.8,262603,Standard
EMP1006,Robert,Miller,robert.miller@healthsystem.org,Orthopedic Surgery,Orthopedic Surgery,7/9/2015,0.5,356994,Standard
EMP1007,Linda,Brown,linda.brown@healthsystem.org,General Surgery,General Surgery,7/21/2020,1,200149,Standard
EMP1008,Jessica,Moore,jessica.moore@healthsystem.org,General Surgery,General Surgery,12/11/2022,1,316600,Standard
EMP1009,James,Jones,james.jones@healthsystem.org,Dermatology,Dermatology,11/20/2016,1,306031,Standard
EMP1010,Elizabeth,Brown,elizabeth.brown@healthsystem.org,Dermatology,Dermatology,10/3/2024,1,278438,Standard
EMP1011,Elizabeth,Hernandez,elizabeth.hernandez@healthsystem.org,General Surgery,General Surgery,7/10/2022,1,203869,Custom
EMP1012,Robert,Rodriguez,robert.rodriguez@healthsystem.org,Cardiology,Cardiology,7/17/2024,1,254592,Tiered CF
EMP1013,Sarah,Moore,sarah.moore@healthsystem.org,Otolaryngology,Otolaryngology,2/7/2024,1,213193,Tiered CF
EMP1014,David,Taylor,david.taylor@healthsystem.org,Cardiology,Cardiology,1/20/2015,0.75,340130,Standard
EMP1015,David,Davis,david.davis@healthsystem.org,Cardiology,Cardiology,6/19/2016,1,265336,Standard
EMP1016,John,Davis,john.davis@healthsystem.org,Cardiology,Cardiology,1/20/2023,1,394049,Custom
EMP1017,Matthew,Davis,matthew.davis@healthsystem.org,Internal Medicine,Internal Medicine,10/7/2015,1,322749,Tiered CF
EMP1018,Jessica,Moore,jessica.moore@healthsystem.org,Internal Medicine,Internal Medicine,4/6/2021,1,377546,Tiered CF
EMP1019,Linda,Garcia,linda.garcia@healthsystem.org,Internal Medicine,Internal Medicine,12/8/2017,1,334307,Tiered CF
EMP1020,Elizabeth,Rodriguez,elizabeth.rodriguez@healthsystem.org,Radiology,Radiology,10/19/2015,1,275292,Standard
EMP1021,Sarah,Brown,sarah.brown@healthsystem.org,General Surgery,General Surgery,6/11/2019,1,223911,Custom
EMP1022,John,Davis,john.davis@healthsystem.org,Dermatology,Dermatology,10/12/2021,1,336961,Standard
EMP1023,Linda,Garcia,linda.garcia@healthsystem.org,Cardiology,Cardiology,7/18/2015,1,274948,Tiered CF
EMP1024,Jennifer,Garcia,jennifer.garcia@healthsystem.org,General Surgery,General Surgery,5/10/2020,1,396472,Tiered CF
EMP1025,Sophia,Thomas,sophia.thomas@healthsystem.org,Cardiology,Cardiology,5/29/2021,1,359003,Tiered CF
EMP1026,Linda,Brown,linda.brown@healthsystem.org,Internal Medicine,Internal Medicine,3/19/2017,1,353688,Custom
EMP1027,John,Martinez,john.martinez@healthsystem.org,Internal Medicine,Internal Medicine,2/15/2021,1,390841,Standard
EMP1028,Linda,Johnson,linda.johnson@healthsystem.org,Cardiology,Cardiology,10/5/2022,1,202097,Standard
EMP1029,John,Garcia,john.garcia@healthsystem.org,Internal Medicine,Internal Medicine,1/12/2023,1,261425,Standard
EMP1030,Jessica,Thomas,jessica.thomas@healthsystem.org,General Surgery,General Surgery,9/3/2017,1,293017,Standard
EMP1031,Joseph,Taylor,joseph.taylor@healthsystem.org,Internal Medicine,Internal Medicine,4/10/2015,1,299304,Standard
EMP1032,Elizabeth,Garcia,elizabeth.garcia@healthsystem.org,Dermatology,Dermatology,3/27/2017,1,235822,Standard
EMP1033,Robert,Miller,robert.miller@healthsystem.org,Endocrinology,Endocrinology,11/11/2016,1,360076,Standard
EMP1034,James,Davis,james.davis@healthsystem.org,Dermatology,Dermatology,9/3/2024,1,369222,Standard
EMP1035,Robert,Smith,robert.smith@healthsystem.org,Cardiology,Cardiology,1/13/2023,1,298941,Standard
EMP1036,Joseph,Thomas,joseph.thomas@healthsystem.org,General Surgery,General Surgery,2/20/2021,1,357931,Standard
EMP1037,Jennifer,Taylor,jennifer.taylor@healthsystem.org,General Surgery,General Surgery,9/20/2019,0.9,257418,Standard
EMP1038,Joseph,Garcia,joseph.garcia@healthsystem.org,Cardiology,Cardiology,12/10/2016,1,248640,Standard
EMP1039,Mary,Moore,mary.moore@healthsystem.org,Cardiology,Cardiology,8/18/2016,0.75,334181,Standard
EMP1040,James,Garcia,james.garcia@healthsystem.org,Radiology,Radiology,6/27/2016,1,332910,Standard
EMP1041,Linda,Garcia,linda.garcia@healthsystem.org,Cardiology,Cardiology,10/11/2023,1,356246,Custom
EMP1042,Sophia,Davis,sophia.davis@healthsystem.org,General Surgery,General Surgery,9/9/2016,1,334553,Tiered CF
EMP1043,Elizabeth,Taylor,elizabeth.taylor@healthsystem.org,Dermatology,Dermatology,11/13/2023,1,245482,Tiered CF
EMP1044,Matthew,Martinez,matthew.martinez@healthsystem.org,Dermatology,Dermatology,5/30/2023,1,235232,Tiered CF
EMP1045,Jennifer,Garcia,jennifer.garcia@healthsystem.org,Dermatology,Dermatology,8/11/2023,1,349146,Standard
EMP1046,Michael,Garcia,michael.garcia@healthsystem.org,Cardiology,Cardiology,12/21/2018,0.8,387404,Standard
