employee_id,first_name,last_name,specialty,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
EMP1001,Michael,Johnson,Dermatology,2024,193.45,474.59,232.12,646.21,222.48,203.69,560.84,638.42,362.21,241.9,380.88,206.42
EMP1002,Linda,Miller,Cardiothoracic Surgery,2024,301.61,375.28,333.81,636.54,207.57,372.84,252.58,413.8,229.16,584.59,580.52,462.31
EMP1003,Emily,Garcia,General Surgery,2024,683.13,487.65,402.02,305.58,525.07,735.81,162.24,668.56,154.68,431.58,737.93,386.72
EMP1004,Emily,Brown,Internal Medicine,2024,639.82,657.68,607.34,524.92,364.25,408.52,193.51,241.11,583.13,480.7,399.28,601.75
EMP1005,David,Brown,Internal Medicine,2024,412.96,580.49,242.55,531.59,279.2,375.8,737.51,295.98,614.5,184.72,394.62,404.38
EMP1006,Robert,Miller,Orthopedic Surgery,2024,295.78,742.39,539.27,505.69,200.37,380.35,562.92,169,403.88,456.99,741.42,349.02
EMP1007,Linda,Brown,General Surgery,2024,543.81,345.68,469.71,408.19,523.14,430.52,491.06,707.46,251.13,682.3,182.62,551.49
EMP1008,Jessica,Moore,General Surgery,2024,726.61,367.62,688.81,599.85,172.8,157.56,696.9,304.39,597.57,720.05,685.39,279.23
EMP1009,James,Jones,Dermatology,2024,203.62,651.96,702.73,399.7,202.65,155.03,253.4,238.28,227.2,243.53,463.04,572.89
EMP1010,Elizabeth,Brown,Dermatology,2024,294.79,202.78,186.38,181.6,674.89,286.15,302.33,292.08,299.89,354.04,403.41,199.7
EMP1011,Elizabeth,Hernandez,General Surgery,2024,712.2,551.06,553.86,497.35,613.55,525.52,544.18,403.38,255.2,738.46,539.98,466.58
EMP1012,Robert,Rodriguez,Cardiology,2024,573.8,284.63,262.28,403.41,229.04,613.53,686.04,431.46,659.3,521.78,610.23,449
EMP1013,Sarah,Moore,Otolaryngology,2024,715.4,700.31,489.96,575.54,312.13,590.37,594.55,232.7,535.45,653.86,331.06,573.33
EMP1014,David,Taylor,Cardiology,2024,174.33,197.54,273.76,611.56,492.84,441.59,476.27,689.94,507.08,563.72,325.02,559.39
EMP1015,David,Davis,Cardiology,2024,329.04,469.73,435.42,294.74,730.85,616.63,434.08,455.7,410.59,182.75,737.18,320.48
EMP1016,John,Davis,Cardiology,2024,542.76,363.9,317.2,251.99,659.46,381.97,199.7,745.13,484.46,513.3,707.53,744.5
EMP1017,Matthew,Davis,Internal Medicine,2024,377.5,341.47,630.24,175.39,657.43,651.03,676.46,291.41,161.53,396.75,588.07,188.47
EMP1018,Jessica,Moore,Internal Medicine,2024,550.18,215.63,432.86,704.43,329.05,273.08,638.85,720.64,643.02,711.05,188.53,250.61
EMP1019,Linda,Garcia,Internal Medicine,2024,494.05,481.93,681.18,614.29,631.88,453.04,613.35,486.17,167.44,202.31,462.38,286.96
EMP1020,Elizabeth,Rodriguez,Radiology,2024,742.86,514.1,585.58,220.31,300.05,462.79,292.97,290.98,731.67,475.37,605.79,546.48
EMP1021,Sarah,Brown,General Surgery,2024,627.25,355.2,404.16,550.96,539.79,220.52,489.42,366.61,485.66,718.53,639.2,270.62
EMP1022,John,Davis,Dermatology,2024,726.6,374.44,430.33,237.01,624.33,649.93,557.67,349.79,682.94,268.59,592.27,215.23
